branches,commits,createdAt,diskUsage,followers,following,forkCount,gistComments,gistStar,gists,hasWikiEnabled,iClosedComments,iClosedParticipants,iOpenComments,iOpenParticipants,issuesClosed,issuesOpen,members,organizations,prClosed,prClosedComments,prClosedCommits,prMerged,prMergedComments,prMergedCommits,prOpen,prOpenComments,prOpenCommits,pushedAt,readmeCharCount,readmeLinkCount,readmeSize,readmeWordCount,releases,repositories,stars,subscribersCount,tags,type,updatedAt,websiteUrl,desWordCount,desCharCount,mit_license,nan_license,apache_license,other_license,remain_license,JavaScript,Python,Java,Objective-C,Ruby,PHP,other_language
68,2,55.0,393966,786,28.0,6.0,100,0.0,0.0,0.0,1,16,4,17,12,2,6,0.0,0.0,0,0,0,1,0,1,0,0,0,414776,3321,0,4639,282,0,18,194,27,0,1,421690,0,20,122,0,0,1,0,0,0,0,1,0,0,0,0
69,2,367.0,393973,7780,474.0,1.0,36,11.0,26.0,39.0,1,97,85,49,51,36,28,0.0,6.0,9,18,25,133,113,218,5,2,8,421900,869,3,869,134,0,127,204,11,0,1,421886,1,7,45,0,1,0,0,0,0,0,0,0,0,0,1
70,1,5.0,393961,443,6.0,0.0,55,0.0,0.0,0.0,1,0,0,5,10,0,8,0.0,0.0,0,0,0,0,0,0,5,5,11,414561,2786,1,2786,314,0,2,215,15,0,1,421599,0,6,43,1,0,0,0,0,0,0,0,1,0,0,0
71,1,42.0,393974,20,76.0,10.0,37,4.0,30.0,13.0,1,32,26,16,12,11,4,0.0,0.0,1,2,1,4,8,5,0,0,0,416008,0,0,0,0,0,59,216,9,0,1,421640,1,6,52,0,0,0,0,1,0,1,0,0,0,0,0
72,2,350.0,393970,171052,19.0,16.0,35,4.0,0.0,4.0,1,215,208,250,189,191,94,0.0,1.0,1,7,4,11,11,63,0,0,0,421246,2747,6,2747,407,4,12,233,25,4,1,421851,1,9,60,1,0,0,0,0,1,0,0,0,0,0,0
73,1,41.0,393965,1172,20.0,0.0,137,0.0,0.0,0.0,1,0,0,18,20,0,12,0.0,0.0,0,0,0,0,0,0,0,0,0,395449,124,1,124,18,0,3,248,19,0,1,421798,0,4,22,0,1,0,0,0,0,0,1,0,0,0,0
74,7,680.0,393969,2759,72.0,1.0,47,1.0,0.0,16.0,1,308,235,160,180,191,84,0.0,4.0,32,53,227,117,125,239,7,22,10,419933,23875,22,23875,3490,0,290,274,14,73,1,421521,0,6,37,0,0,0,0,1,0,0,0,0,0,0,1
75,1,43.0,393960,94,146.0,3.0,127,1.0,3.0,21.0,1,26,13,17,17,5,11,0.0,1.0,1,0,1,6,11,10,0,0,0,410915,9877,2,9879,1406,0,59,304,39,0,1,421484,0,6,41,0,0,0,0,1,0,1,0,0,0,0,0
76,1,30.0,393978,793,42.0,0.0,34,0.0,0.0,0.0,1,6,8,1,2,4,1,0.0,0.0,0,0,0,2,5,4,0,0,0,397024,5797,1,5797,708,0,14,317,20,3,1,419495,0,6,30,1,0,0,0,0,0,0,0,1,0,0,0
77,4,271.0,393966,7697,132.0,4.0,59,6.0,32.0,42.0,1,92,51,4,7,33,6,0.0,0.0,0,0,0,16,17,56,0,0,0,420586,3461,21,3461,534,8,191,324,55,13,1,421781,0,12,79,1,0,0,0,0,0,0,0,0,0,0,1
